id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
119,mqtt,f,27.42,52.85,3.58,1772146040.149792,1772146040.1522236,2.431631088256836,90,2026-02-26 22:47:20.152326
120,mqtt,f,20.52,54.38,4.5,1772146040.2028713,1772146040.2058544,2.98309326171875,90,2026-02-26 22:47:20.205954
121,mqtt,f,27.38,48.96,2.32,1772146040.2565653,1772146040.2594957,2.9304027557373047,91,2026-02-26 22:47:20.259579
122,mqtt,f,28.2,53.87,4.75,1772146040.3101368,1772146040.313147,3.010272979736328,90,2026-02-26 22:47:20.313275
123,mqtt,f,25.32,53.82,1.25,1772146040.3639657,1772146040.3668783,2.9125213623046875,91,2026-02-26 22:47:20.366967
124,mqtt,f,23.05,48.49,4.03,1772146040.4175239,1772146040.4213893,3.865480422973633,91,2026-02-26 22:47:20.421469
125,mqtt,f,23.68,48.84,1.69,1772146040.4721324,1772146040.4758537,3.7212371826171875,91,2026-02-26 22:47:20.475938
126,mqtt,f,24.2,42.38,2.34,1772146040.526328,1772146040.529518,3.1898021697998047,89,2026-02-26 22:47:20.529718
127,mqtt,f,26.24,43.83,2.34,1772146040.5802698,1772146040.5831275,2.857685089111328,91,2026-02-26 22:47:20.583214
128,mqtt,f,20.67,45.33,2.83,1772146040.63436,1772146040.637608,3.247976303100586,89,2026-02-26 22:47:20.637777
129,mqtt,f,21.66,53.04,3.03,1772146040.6883066,1772146040.6909301,2.6235580444335938,91,2026-02-26 22:47:20.691021
130,mqtt,f,27.61,49.19,2.6,1772146040.741677,1772146040.745319,3.641843795776367,89,2026-02-26 22:47:20.745477
131,mqtt,f,27.7,52.47,3.58,1772146040.7963166,1772146040.7987845,2.4678707122802734,90,2026-02-26 22:47:20.798882
132,mqtt,f,20.18,48.58,1.17,1772146040.849585,1772146040.8522596,2.674579620361328,90,2026-02-26 22:47:20.852349
133,mqtt,f,26.94,45.25,4.32,1772146040.9029515,1772146040.905898,2.946615219116211,91,2026-02-26 22:47:20.906037
134,mqtt,f,24.01,47.89,2.89,1772146040.956581,1772146040.9595964,3.015279769897461,90,2026-02-26 22:47:20.959683
135,mqtt,f,21.02,52.97,4.13,1772146041.0102546,1772146041.013414,3.1592845916748047,91,2026-02-26 22:47:21.013505
136,mqtt,f,25.81,44.92,1.93,1772146041.06433,1772146041.0670695,2.739429473876953,89,2026-02-26 22:47:21.067164
137,mqtt,f,20.52,46.05,1.78,1772146041.1178563,1772146041.121066,3.209829330444336,91,2026-02-26 22:47:21.121252
138,mqtt,f,27.7,48.21,3.5,1772146041.1715996,1772146041.1741085,2.508878707885742,89,2026-02-26 22:47:21.174185
139,mqtt,f,25.76,57.7,2.43,1772146041.2250016,1772146041.2279024,2.900838851928711,90,2026-02-26 22:47:21.227968
140,mqtt,f,24.54,57.59,2.21,1772146041.2787893,1772146041.2815232,2.733945846557617,91,2026-02-26 22:47:21.281609
141,mqtt,f,26.39,50.35,3.89,1772146041.3321838,1772146041.334572,2.3882389068603516,91,2026-02-26 22:47:21.334648
142,mqtt,f,21.57,47.68,3.33,1772146041.3852797,1772146041.38902,3.7403106689453125,91,2026-02-26 22:47:21.389134
143,mqtt,f,24.3,53.57,2.1,1772146041.4398115,1772146041.4424706,2.6590824127197266,89,2026-02-26 22:47:21.442576
144,mqtt,f,29.1,52.86,2.33,1772146041.49321,1772146041.4955933,2.3832321166992188,88,2026-02-26 22:47:21.495693
145,mqtt,f,24.6,55.54,1.34,1772146041.5466797,1772146041.5523329,5.653142929077148,90,2026-02-26 22:47:21.552466
146,mqtt,f,20.36,44.11,4.35,1772146041.6033437,1772146041.6056662,2.3224353790283203,91,2026-02-26 22:47:21.605765
147,mqtt,f,26.93,47.63,4.99,1772146041.656361,1772146041.659064,2.702951431274414,90,2026-02-26 22:47:21.659159
148,mqtt,f,21.34,47.67,2.7,1772146041.7098098,1772146041.7148197,5.009889602661133,90,2026-02-26 22:47:21.714928
